id|dsstox_substance_id|dsstox_casrn|preferred_name|chemistry_team_mapping
276|DTXSID70863265|3739-30-8||1
277|DTXSID9046073|495-69-2||1
278|DTXSID4027028|124-38-9||1
279|DTXSID8022406|131-56-6||1
280|DTXSID90382620|812-70-4||1
283|DTXSID5021594|298-12-4||1
284|DTXSID0025816|144-62-7||1
285|DTXSID4040002|131-70-4||1
286|DTXSID0020232|58-08-2||1
287|DTXSID0023537|90-82-4||1
290|DTXSID70904607|15265-26-6||1
291|DTXSID5021122|50-06-6||1
292|DTXSID10169854|174592-47-3||1
294|DTXSID3037094|68392-35-8||1
295|DTXSID20230862|81024-43-3||1
296|DTXSID6022896|50-47-5||1
297|DTXSID60230861|81024-42-2||1
